A2M 	The a2 Milk Company 	Consumer Staples 
ABC 	Adbri 	Materials 
ABP 	Abacus Property Group 	Real Estate 
AGL 	AGL Energy 	Utilities 
AIA 	Auckland Airport 	Industrials 
AKE 	Allkem 	Materials 
ALD 	Ampol 	Energy 
ALL 	Aristocrat Leisure 	Consumer Discretionary 
ALQ 	ALS 	Industrials 
ALU 	Altium 	Information Technology 
ALX 	Atlas Arteria 	Industrials 
AMC 	Amcor 	Materials 
AMP 	AMP 	Financials 
ANN 	Ansell 	Healthcare 
ANZ 	Australia & New Zealand Banking Group 	Financials 
APA 	APA Group 	Utilities 
APE 	Eagers Automotive 	Consumer Discretionary 
SQ2 	Block Inc. CDI 	Information Technology 
ARB 	ARB Corporation 	Consumer Discretionary 
ARF 	Arena REIT 	Real Estate 
ASX 	ASX 	Financials 
AUB 	AUB Group 	Financials 
AWC 	Alumina 	Materials 
AZJ 	Aurizon 	Industrials 
AVZ 	AVZ Minerals 	Materials 
BAP 	Bapcor 	Consumer Discretionary 
BEN 	Bendigo & Adelaide Bank 	Financials 
BGA 	Bega Cheese 	Consumer Staples 
BHP 	BHP 	Materials 
BKL 	Blackmores 	Consumer Staples 
BKW 	Brickworks 	Materials 
BLD 	Boral 	Materials 
BOQ 	Bank of Queensland 	Financials 
BPT 	Beach Energy 	Energy 
BRN 	Brainchip 	Information Technology 
BRG 	Breville Group 	Consumer Discretionary 
BSL 	BlueScope 	Materials 
BWP 	BWP Trust 	Real Estate 
BXB 	Brambles 	Industrials 
CAR 	Carsales 	Communication Services 
CBA 	Commonwealth Bank 	Financials 
CCP 	Credit Corp Group 	Financials 
CCX 	City Chic Collective 	Consumer Discretionary 
CGC 	Costa Group 	Consumer Staples 
CGF 	Challenger 	Financials 
CHC 	Charter Hall 	Real Estate 
CHN 	Chalice Mining 	Materials 
CIA 	Champion Iron 	Materials 
CIP 	Centuria Industrial REIT 	Real Estate 
CKF 	Collins Foods 	Consumer Discretionary 
CLW 	Charter Hall Long WALE REIT 	Real Estate 
CMW 	Cromwell Property Group 	Real Estate 
CNI 	Centuria Capital 	Real Estate 
CNU 	Chorus 	Communication Services 
COH 	Cochlear 	Healthcare 
COL 	Coles Group 	Consumer Staples 
CPU 	Computershare 	Information Technology 
CRN 	Coronado Global Resources 	Materials 
CQR 	Charter Hall Retail REIT 	Real Estate 
CSL 	CSL 	Healthcare 
CSR 	CSR 	Materials 
CTD 	Corporate Travel Management 	Consumer Discretionary 
CUV 	Clinuvel Pharmaceut 	Healthcare 
CWY 	Cleanaway 	Industrials 
CXO 	Core Lithium 	Materials 
DEG 	De Grey Mining 	Materials 
DHG 	Domain Group 	Communication Services 
DMP 	Domino's Pizza Enterprises 	Consumer Discretionary 
DOW 	Downer Group 	Industrials 
DRR 	Deterra Royalties 	Materials 
DXS 	Dexus 	Real Estate 
EDV 	Endeavour Group 	Consumer Staples 
ELD 	Elders 	Consumer Staples 
EML 	EML Payments 	Information Technology 
EVN 	Evolution Mining 	Materials 
EVT 	Event Hospitality and Entertainment 	Communication Services 
FBU 	Fletcher Building 	Industrials 
FLT 	Flight Centre 	Consumer Discretionary 
FMG 	Fortescue Metals Group 	Materials 
FPH 	Fisher & Paykel Healthcare 	Healthcare 
GMG 	Goodman Group 	Real Estate 
GNC 	GrainCorp 	Consumer Staples 
GOR 	Gold Road Res 	Materials 
GOZ 	Growthpoint Properties 	Real Estate 
GPT 	GPT Group 	Real Estate 
GUD 	GUD Holdings 	Consumer Discretionary 
HDN 	HomeCo Daily Needs REIT 	Real Estate 
HLS 	Healius 	Healthcare 
HMC 	Home Consortium 	Real Estate 
HUB 	HUB24 	Financials 
HVN 	Harvey Norman 	Consumer Discretionary 
IAG 	Insurance Australia Group 	Financials 
IEL 	Idp Education 	Consumer Discretionary 
IFL 	Insignia Financial 	Financials 
IGO 	Independence Group 	Materials 
ILU 	Iluka Resources 	Materials 
IMU 	Imugene 	Healthcare 
INA 	Ingenia Group 	Real Estate 
ING 	Inghams 	Consumer Staples 
IPH 	IPH 	Industrials 
IPL 	Incitec Pivot 	Materials 
IRE 	Iress 	Information Technology 
IVC 	InvoCare 	Consumer Discretionary 
JBH 	JB Hi-Fi 	Consumer Discretionary 
JHG 	Janus Henderson 	Financials 
JHX 	James Hardie 	Materials 
KLS 	Kelsian Group 	Industrials 
LIC 	Lifestyle Communities 	Real Estate 
LKE 	Lake Resources 	Materials 
LLC 	Lendlease 	Real Estate 
LNK 	Link Admin 	Information Technology 
LTR 	Liontown Resources 	Materials 
LYC 	Lynas 	Materials 
MFG     Magellan Financial Group 	Financials 
MGR 	Mirvac 	Real Estate 
MIN 	Mineral Resources 	Materials 
MP1 	Megaport 	Information Technology 
MPL 	Medibank 	Financials 
MQG 	Macquarie Group 	Financials 
MTS     Metcash 	Consumer Staples
NAB 	National Australia Bank 	Financials 
NAN 	Nanosonics 	Healthcare 
NCM 	Newcrest 	Materials 
